id_media;cd_ref;titre;url;chemin;auteur;desc_media;date_media;is_public;id_type;source;licence
2;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/266250;;J. Touroult;Corse. Zicavo.;2021-09-22;true;2;INPN;CC BY-NC-SA
3;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/99818;;F. Serre Collet;Mâle - Aiguilles de Bavella;2021-09-22;true;2;INPN;CC BY-NC-SA
4;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/206560;;L. Léonard;;2021-09-22;true;2;INPN;CC BY-NC-SA
5;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/99821;;A. Horellou;San-Pietro - 07/05/2006;2021-09-22;true;2;INPN;CC BY-NC-SA
6;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/99822;;A. Horellou;San-Pietro - 07/05/2006;2021-09-22;true;2;INPN;CC BY-NC-SA
7;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/206559;;L. Léonard;;2021-09-22;true;2;INPN;CC BY-NC-SA
8;59;<i>Euproctus montanus</i> (Savi, 1838);https://taxref.mnhn.fr/api/media/download/inpn/384552;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
10;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/237383;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
11;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/101903;;P. Gourdain;Soignolles-en-Brie;2021-09-22;true;2;INPN;CC BY-NC-SA
12;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/237382;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
13;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/101901;;F. Serre Collet;Femelle - Ménigoute;2021-09-22;true;2;INPN;CC BY-NC-SA
14;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/311524;;;;2021-09-22;true;2;INPN;CC BY-NC-SA
15;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/237385;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
16;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/101904;;P. Gourdain;Chambon-la-Forêt;2021-09-22;true;2;INPN;CC BY-NC-SA
17;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/120759;;B. Guichard;;2021-09-22;true;2;INPN;CC BY-NC-SA
18;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/101905;;O. Delzons;;2021-09-22;true;2;INPN;CC BY-NC-SA
19;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/237386;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
20;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/237384;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
21;92;<i>Salamandra salamandra</i> (Linnaeus, 1758);https://taxref.mnhn.fr/api/media/download/inpn/384532;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
23;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/237427;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
24;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/237426;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
25;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/237425;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
26;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/237424;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
27;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/237420;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
28;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/201552;;Yannick LEDORÉ, FFAL;;2021-09-22;true;2;INPN;CC BY-NC-SA
29;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/201598;;Yannick LEDORÉ, FFAL;;2021-09-22;true;2;INPN;CC BY-NC-SA
30;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/101921;;F. Serre Collet;Femelle - Marolles-en-Brie;2021-09-22;true;2;INPN;CC BY-NC-SA
31;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/201597;;Yannick LEDORÉ, FFAL;;2021-09-22;true;2;INPN;CC BY-NC-SA
32;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/237421;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
33;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/384558;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
34;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/386926;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
35;139;<i>Triturus cristatus</i> (Laurenti, 1768);https://taxref.mnhn.fr/api/media/download/inpn/389165;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
38;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/237432;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
39;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/119765;;J.-C. de Massary;Adulte en phase terrestre;2021-09-22;true;2;INPN;CC BY-NC-SA
40;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/102022;;F. Serre Collet;Mâle - Ménigoute;2021-09-22;true;2;INPN;CC BY-NC-SA
41;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/136621;;C. Fournier;;2021-09-22;true;2;INPN;CC BY-NC-SA
42;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/237430;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
43;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/384561;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
44;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/237433;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
45;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/102025;;J. Touroult;Phase terrestre;2021-09-22;true;2;INPN;CC BY-NC-SA
46;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/237428;;E. SANSAULT - ANEPE Caudalis;;2021-09-22;true;2;INPN;CC BY-NC-SA
47;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/384559;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
48;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/384560;;S. Wroza;;2021-09-22;true;2;INPN;CC BY-NC-SA
49;163;<i>Triturus marmoratus</i> (Latreille, 1800);https://taxref.mnhn.fr/api/media/download/inpn/300985;;J. Kardacz - ECOGEA;;2021-09-22;true;2;INPN;CC BY-NC-SA
